Reach ID,Date,NO3-N concentration (mg/l),NO3-N  loading (kg/d)
7,2018-09,0.0,0.0
7,2018-10,0.782,0.282
7,2018-11,1.856,1.7
7,2018-12,118.808,0.01
7,2019-01,4.372,0.131
7,2019-02,0.0,0.0
7,2019-03,0.0,0.0
7,2019-04,13.576,0.47
7,2019-05,0.927,0.38
7,2019-06,8.075,1.919
7,2019-07,2096.692,0.011
7,2019-08,121.99,0.01
7,2019-09,48.039,0.017
7,2019-10,45.84,0.011
7,2019-11,1.325,0.058
7,2019-12,3.73,0.291
7,2020-01,37.761,0.014
7,2020-02,0.0,0.0
7,2020-03,0.0,0.0
7,2020-04,16.467,0.012
7,2020-05,32.444,0.016
7,2020-06,2325.407,0.011
7,2020-07,119.168,0.011
7,2020-08,21.742,0.013
7,2020-09,57.1,0.011
7,2020-10,55.931,0.013
7,2020-11,146.758,0.011
7,2020-12,7.496,0.047
7,2021-01,6.338,0.018
7,2021-02,0.0,0.0
7,2021-03,373.011,0.011
7,2021-04,776.903,0.011
7,2021-05,8.618,0.013
7,2021-06,0.0,0.0
7,2021-07,0.0,0.0
7,2021-08,952.933,0.011
7,2021-09,4.051,0.015
7,2021-10,3310.435,0.011
7,2021-11,21.432,0.011
7,2021-12,83.932,0.019
7,2022-01,195.985,0.011
7,2022-02,0.0,0.0
7,2022-03,242.899,0.011
7,2022-04,448.546,0.011
7,2022-05,1.658,0.114
7,2022-06,58.148,0.011
8,2016-01,981.329,0.015
8,2016-02,867.433,0.015
8,2016-03,86.246,0.019
8,2016-04,3.605,0.137
8,2016-05,2.516,0.376
8,2016-06,2660.886,0.016
8,2016-07,3.674,0.126
8,2016-08,28.958,0.015
8,2016-09,2571.19,0.015
8,2016-10,1.193,0.048
8,2016-11,45.515,0.036
8,2016-12,1066.018,0.016
8,2017-01,1007.143,0.016
8,2017-02,0.0,0.0
8,2017-03,2.085,1.024
8,2017-04,5.619,0.267
8,2017-05,4.188,1.049
8,2017-06,1225.113,0.017
8,2017-07,3.503,0.041
8,2017-08,0.0,0.0
8,2017-09,67.368,0.015
8,2017-10,0.0,0.0
8,2017-11,55.269,0.017
8,2017-12,159.106,0.018
8,2018-01,0.0,0.0
8,2018-02,0.0,0.0
8,2018-03,6.961,2.615
8,2018-04,59.544,0.022
8,2018-05,1041.393,0.017
8,2018-06,1092.139,0.017
8,2018-07,1516.946,0.017
8,2018-08,1.378,0.053
8,2018-09,29673.225,0.017
8,2018-10,0.88,0.369
8,2018-11,1.907,2.063
8,2018-12,36.011,0.023
8,2019-01,5.322,0.188
8,2019-02,0.0,0.0
8,2019-03,0.0,0.0
8,2019-04,7.532,0.052
8,2019-05,0.916,1.265
8,2019-06,7.464,2.21
8,2019-07,1555.571,0.018
8,2019-08,153.706,0.018
8,2019-09,5.908,0.02
8,2019-10,47.918,0.017
8,2019-11,2.31,0.121
8,2019-12,7.889,0.765
8,2020-01,59.702,0.026
8,2020-02,0.0,0.0
8,2020-03,0.0,0.0
8,2020-04,11.094,0.022
8,2020-05,24.759,0.028
8,2020-06,1237.306,0.018
8,2020-07,158.972,0.018
8,2020-08,9.398,0.027
8,2020-09,91.883,0.02
8,2020-10,8.941,0.024
8,2020-11,25.625,0.021
